	Left Hole					Square 1					Square 2					Square 3					Square 4					Right Hole				
Bar Num	x (mm)	y (mm)	radius (mm)	~	flagged	x (mm)	y (mm)	width (mm)	height (mm)	flagged	x (mm)	y (mm)	width (mm)	height (mm)	flagged	x (mm)	y (mm)	width (mm)	height (mm)	flagged	x (mm)	y (mm)	width (mm)	height (mm)	flagged	x (mm)	y (mm)	width (mm)	height (mm)	flagged
15	0	0	2.41689495	0		5.826125	-0.003638798	2.465916667	2.497666667		32.12570833	0.010772196	2.465916667	2.465916667		55.67891667	0.002595746	2.4765	2.497666667		81.97320833	0.001108612	2.465916667	2.4765		87.772875	0	5.090583333	4.836583333	
17	0	0	2.444037221	0		5.786966667	-0.008542814	2.465916667	2.497666667		32.08655	0.007920971	2.465916667	2.487083333		55.63446667	0.003529139	2.465916667	2.465916667		81.93405	0.004117925	2.465916667	2.487083333		87.75488333	0	5.090583333	4.868333333	
19	0	0	2.42494115	0		5.78437963	0.002049382	2.465916667	2.465916667		32.08925463	-0.008622844	2.4765	2.4765		55.63187963	-0.010899545	2.465916667	2.465916667		81.93146296	-0.01630457	2.465916667	2.465916667		87.74700463	0	5.101166667	4.836583333	
21	0	0	2.433042704	0		5.798154762	0.014235153	2.465916667	2.497666667		32.0977381	0.003237071	2.465916667	2.497666667		55.6403631	-0.014629706	2.4765	2.487083333		81.93994643	-0.020336121	2.4765	2.497666667		87.75019643	0	5.101166667	4.85775	
2	0	0	2.447966912	0		5.804958333	-0.018731964	2.465916667	2.465916667		32.115125	-0.009372467	2.465916667	2.465916667		55.66833333	-0.020702306	2.4765	2.4765		81.98379167	-0.016604922	2.465916667	2.465916667		87.79933333	0	5.101166667	4.847166667	
4	0	0	2.437646126	0		5.79834375	-0.006796497	2.465916667	2.497666667		32.11380208	-0.002534472	2.4765	2.497666667		55.66701042	-0.001467271	2.465916667	2.4765		81.97188542	-0.013133036	2.4765	2.487083333		87.78742708	0	5.090583333	4.847166667	
6	0	0	2.444303622	0		5.804202381	-0.027815998	2.465916667	2.497666667		32.11966071	-0.017623673	2.4765	2.497666667		55.67286905	-0.018762122	2.465916667	2.465916667		81.98832738	-0.024444797	2.455333333	2.455333333		87.80916071	0	5.08	4.826	
8	0	0	2.420030336	0		5.752041667	-0.021888896	2.465916667	2.487083333		32.06220833	-0.011473997	2.465916667	2.487083333		55.61541667	-0.031586669	2.4765	2.487083333		81.930875	-0.042300157	2.465916667	2.465916667		87.77816667	0	5.058833333	4.751916667	
10	0	0	2.421844421	0		5.799666667	0.013049885	2.4765	2.497666667		32.115125	0.028273157	2.465916667	2.50825		55.66833333	0.019387891	2.4765	2.50825		81.9785	0.002825115	2.4765	2.518833333		87.77816667	0	5.08	4.826	
12	0	0	2.448127313	0		5.815541667	0.003781867	2.497666667	2.50825		32.131	0.004809005	2.465916667	2.50825		55.673625	-0.006822901	2.4765	2.518833333		81.98908333	-0.011087429	2.465916667	2.50825		87.78875	0	5.090583333	4.826	
14	0	0	2.428103891	0		5.759097222	0.013987672	2.465916667	2.497666667		32.06926389	0.018122225	2.465916667	2.50825		55.62247222	0.002669444	2.4765	2.529416667		81.93793056	-0.009043564	2.465916667	2.50825		87.76405556	0	5.101166667	4.836583333	
16	0	0	2.46076711	0		5.757333333	0.023087313	2.465916667	2.487083333		32.07279167	0.012946494	2.4765	2.497666667		55.626	0.013109525	2.465916667	2.497666667		81.93616667	-0.012937241	2.465916667	2.4765		87.76758333	0	5.11175	4.783666667	
18	0	0	2.434797668	0		5.799666667	0.002454647	2.465916667	2.4765		32.115125	-0.003542767	2.4765	2.487083333		55.66833333	-0.017768047	2.465916667	2.497666667		81.9785	-0.018509831	2.465916667	2.497666667		87.804625	0	5.101166667	4.826	
20	0	0	2.422176765	0		5.775854167	0.02740533	2.4765	2.455333333		32.08602083	0.024357298	2.4765	2.465916667		55.63922917	0.009730924	2.465916667	2.487083333		81.94939583	0.001391226	2.465916667	2.487083333		87.77552083	0	5.101166667	4.847166667	
22	0	0	2.417588221	0		5.769680556	0.007633758	2.4765	2.465916667		32.08513889	0.004377462	2.465916667	2.487083333		55.63305556	-0.004648448	2.465916667	2.487083333		81.94851389	-0.018488077	2.4765	2.487083333		87.76405556	0	5.11175	4.868333333	
1	0	0	2.423835579	0		5.783035714	-0.016132138	2.465916667	2.497666667		32.08791071	0.001187942	2.4765	2.497666667		55.63582738	-0.018639327	2.4765	2.487083333		81.93011905	-0.011943613	2.465916667	2.487083333		87.74036905	0	5.069416667	4.79425	
3	0	0	2.424532726	0		5.789083333	0.000521314	2.465916667	2.497666667		32.08866667	-0.004012222	2.465916667	2.497666667		55.63658333	-0.014960174	2.465916667	2.50825		81.930875	-0.003641223	2.4765	2.497666667		87.76229167	0	5.101166667	4.826	
5	0	0	2.444282351	0		5.798154762	-0.005909367	2.465916667	2.518833333		32.0977381	-0.009138917	2.465916667	2.497666667		55.6403631	-0.015869302	2.4765	2.497666667		81.93465476	-0.00854255	2.465916667	2.497666667		87.75019643	0	5.101166667	4.826	
7	0	0	2.433476261	0		5.783791667	-0.007447082	2.455333333	2.487083333		32.08866667	0.003050073	2.465916667	2.487083333		55.63129167	-0.003113909	2.4765	2.487083333		81.92558333	-0.013847257	2.465916667	2.487083333		87.73054167	0	5.08	4.751916667	
9	0	0	2.449316951	0		5.799666667	-0.001322996	2.465916667	2.487083333		32.09925	-0.011513196	2.465916667	2.465916667		55.641875	0.000874339	2.4765	2.497666667		81.93616667	0.001239711	2.465916667	2.497666667		87.75170833	0	5.101166667	4.783666667	
11	0	0	2.441120788	0		5.806401515	-0.001045414	2.465916667	2.465916667		32.10598485	-0.002045228	2.465916667	2.465916667		55.64860985	-0.000378513	2.4765	2.497666667		81.94819318	0.003913339	2.4765	2.50825		87.75844318	0	5.08	4.836583333	
13	0	0	2.431946887	0		5.786815476	0.019918948	2.455333333	2.497666667		32.09169048	0.015488077	2.465916667	2.497666667		55.63431548	0.002631722	2.4765	2.497666667		81.92860714	-0.001831431	2.465916667	2.497666667		87.73356548	0	5.101166667	4.836583333	
15	0	0	2.41689495	0		5.826125	-0.003638798	2.465916667	2.497666667		32.12570833	0.010772196	2.465916667	2.465916667		55.67891667	0.002595746	2.4765	2.497666667		81.97320833	0.001108612	2.465916667	2.4765		87.772875	0	5.090583333	4.836583333	
17	0	0	2.444037221	0		5.786966667	-0.008542814	2.465916667	2.497666667		32.08655	0.007920971	2.465916667	2.487083333		55.63446667	0.003529139	2.465916667	2.465916667		81.93405	0.004117925	2.465916667	2.487083333		87.75488333	0	5.090583333	4.868333333	
19	0	0	2.42494115	0		5.78437963	0.002049382	2.465916667	2.465916667		32.08925463	-0.008622844	2.4765	2.4765		55.63187963	-0.010899545	2.465916667	2.465916667		81.93146296	-0.01630457	2.465916667	2.465916667		87.74700463	0	5.101166667	4.836583333	
21	0	0	2.433042704	0		5.798154762	0.014235153	2.465916667	2.497666667		32.0977381	0.003237071	2.465916667	2.497666667		55.6403631	-0.014629706	2.4765	2.487083333		81.93994643	-0.020336121	2.4765	2.497666667		87.75019643	0	5.101166667	4.85775	
2	0	0	2.447966912	0		5.804958333	-0.018731964	2.465916667	2.465916667		32.115125	-0.009372467	2.465916667	2.465916667		55.66833333	-0.020702306	2.4765	2.4765		81.98379167	-0.016604922	2.465916667	2.465916667		87.79933333	0	5.101166667	4.847166667	
4	0	0	2.437646126	0		5.79834375	-0.006796497	2.465916667	2.497666667		32.11380208	-0.002534472	2.4765	2.497666667		55.66701042	-0.001467271	2.465916667	2.4765		81.97188542	-0.013133036	2.4765	2.487083333		87.78742708	0	5.090583333	4.847166667	
6	0	0	2.444303622	0		5.804202381	-0.027815998	2.465916667	2.497666667		32.11966071	-0.017623673	2.4765	2.497666667		55.67286905	-0.018762122	2.465916667	2.465916667		81.98832738	-0.024444797	2.455333333	2.455333333		87.80916071	0	5.08	4.826	
8	0	0	2.420030336	0		5.752041667	-0.021888896	2.465916667	2.487083333		32.06220833	-0.011473997	2.465916667	2.487083333		55.61541667	-0.031586669	2.4765	2.487083333		81.930875	-0.042300157	2.465916667	2.465916667		87.77816667	0	5.058833333	4.751916667	
10	0	0	2.421844421	0		5.799666667	0.013049885	2.4765	2.497666667		32.115125	0.028273157	2.465916667	2.50825		55.66833333	0.019387891	2.4765	2.50825		81.9785	0.002825115	2.4765	2.518833333		87.77816667	0	5.08	4.826	
12	0	0	2.448127313	0		5.815541667	0.003781867	2.497666667	2.50825		32.131	0.004809005	2.465916667	2.50825		55.673625	-0.006822901	2.4765	2.518833333		81.98908333	-0.011087429	2.465916667	2.50825		87.78875	0	5.090583333	4.826	
14	0	0	2.428103891	0		5.759097222	0.013987672	2.465916667	2.497666667		32.06926389	0.018122225	2.465916667	2.50825		55.62247222	0.002669444	2.4765	2.529416667		81.93793056	-0.009043564	2.465916667	2.50825		87.76405556	0	5.101166667	4.836583333	
16	0	0	2.46076711	0		5.757333333	0.023087313	2.465916667	2.487083333		32.07279167	0.012946494	2.4765	2.497666667		55.626	0.013109525	2.465916667	2.497666667		81.93616667	-0.012937241	2.465916667	2.4765		87.76758333	0	5.11175	4.783666667	
18	0	0	2.434797668	0		5.799666667	0.002454647	2.465916667	2.4765		32.115125	-0.003542767	2.4765	2.487083333		55.66833333	-0.017768047	2.465916667	2.497666667		81.9785	-0.018509831	2.465916667	2.497666667		87.804625	0	5.101166667	4.826	
20	0	0	2.422176765	0		5.775854167	0.02740533	2.4765	2.455333333		32.08602083	0.024357298	2.4765	2.465916667		55.63922917	0.009730924	2.465916667	2.487083333		81.94939583	0.001391226	2.465916667	2.487083333		87.77552083	0	5.101166667	4.847166667	
22	0	0	2.417588221	0		5.769680556	0.007633758	2.4765	2.465916667		32.08513889	0.004377462	2.465916667	2.487083333		55.63305556	-0.004648448	2.465916667	2.487083333		81.94851389	-0.018488077	2.4765	2.487083333		87.76405556	0	5.11175	4.868333333	
